engineNumber,cycleNumber,sensor2,sensor3,sensor4,sensor7,sensor8,sensor9,sensor11,sensor12,sensor13,sensor14,sensor15,sensor17,sensor20,sensor21,RUL
1,1,555.32,1358.61,1137.23,194.64,2222.65,8341.91,42.02,183.06,2387.72,8048.56,9.3461,334,14.73,8.8071,148
1,2,549.9,1353.22,1125.78,138.51,2211.57,8303.96,42.2,130.42,2387.66,8072.3,9.3774,330,10.41,6.2665,147
1,3,537.31,1256.76,1047.45,175.71,1915.11,8001.42,36.69,164.22,2028.03,7864.87,10.8941,309,14.08,8.6723,146
1,4,549.51,1354.03,1126.38,138.46,2211.58,8303.96,41.96,130.72,2387.61,8068.66,9.3528,329,10.59,6.4701,145
1,5,537.07,1257.71,1047.93,175.05,1915.1,7993.23,36.89,164.31,2028.0,7861.23,10.8963,309,14.13,8.5286,144
1,6,537.02,1266.38,1048.72,175.17,1915.15,7996.1,36.78,164.27,2028.01,7868.87,10.8912,306,14.28,8.559,143
1,7,549.74,1347.45,1127.19,138.71,2211.62,8307.75,42.19,130.49,2387.69,8075.54,9.3753,330,10.62,6.4227,142
1,8,607.44,1481.69,1252.36,334.41,2323.87,8709.12,44.27,315.11,2387.99,8049.26,9.2369,365,24.33,14.7989,141
1,9,549.33,1348.23,1127.45,138.06,2211.61,8312.33,42.3,130.97,2387.62,8065.78,9.3878,331,10.69,6.3802,140
1,10,549.33,1356.4,1127.11,138.7,2211.56,8302.31,42.02,130.5,2387.62,8069.11,9.3957,329,10.57,6.2847,139
1,11,549.81,1352.72,1126.23,137.81,2211.59,8301.22,42.05,130.41,2387.64,8076.44,9.3871,331,10.51,6.3394,138
1,12,642.7,1585.52,1402.63,553.93,2388.12,9038.84,47.34,521.29,2388.16,8121.09,8.3892,393,39.04,23.2694,137
1,13,607.67,1488.74,1256.1,335.33,2323.87,8710.39,44.43,314.77,2388.04,8048.52,9.1968,365,24.4,14.7202,136
1,14,549.47,1352.69,1121.2,138.6,2211.59,8312.22,42.11,130.6,2387.69,8070.37,9.3905,330,10.69,6.323,135
1,15,604.57,1501.72,1305.97,395.21,2318.87,8765.1,45.49,372.03,2388.14,8118.56,8.6079,369,28.54,17.1272,134
1,16,555.56,1362.41,1126.95,194.44,2222.76,8336.74,41.74,182.78,2387.76,8053.94,9.3232,332,14.96,8.9446,133
1,17,536.25,1260.07,1053.0,175.21,1915.12,8005.82,36.73,164.53,2028.03,7857.51,10.8616,307,14.07,8.5935,132
1,18,555.45,1365.15,1135.62,193.77,2222.7,8336.57,41.98,182.72,2387.72,8052.73,9.3419,334,14.99,8.9676,131
1,19,549.07,1349.47,1134.82,138.72,2211.59,8300.02,42.02,130.42,2387.63,8070.7,9.3798,332,10.49,6.4195,130
1,20,607.9,1482.44,1255.75,334.43,2323.94,8708.9,44.43,314.85,2388.08,8047.01,9.2623,366,24.46,14.6601,129
1,21,549.68,1350.29,1130.26,137.93,2211.59,8303.44,42.28,129.98,2387.62,8071.57,9.3824,331,10.56,6.3982,128
